safe,danger,fire,day,weekday,time,weekday_2
2,0,0,1,월,00:00:00,1
2,0,0,1,월,00:05:00,1
1,1,0,1,월,00:10:00,1
2,1,0,1,월,00:15:00,1
1,1,0,1,월,00:20:00,1
2,1,0,1,월,00:25:00,1
3,1,0,1,월,00:30:00,1
2,1,0,1,월,00:35:00,1
2,1,0,1,월,00:40:00,1
1,2,0,1,월,00:45:00,1
1,1,0,1,월,00:50:00,1
1,1,0,1,월,00:55:00,1
1,1,0,1,월,01:00:00,1
1,1,0,1,월,01:05:00,1
1,3,0,1,월,01:10:00,1
1,3,0,1,월,01:15:00,1
1,2,0,1,월,01:20:00,1
2,2,0,1,월,01:25:00,1
1,2,0,1,월,01:30:00,1
1,3,0,1,월,01:35:00,1
1,2,0,1,월,01:40:00,1
1,3,0,1,월,01:45:00,1
1,2,0,1,월,01:50:00,1
1,2,0,1,월,01:55:00,1
1,2,0,1,월,02:00:00,1
1,3,0,1,월,02:05:00,1
2,2,0,1,월,02:10:00,1
2,3,0,1,월,02:15:00,1
1,3,0,1,월,02:20:00,1
1,2,0,1,월,02:25:00,1
1,3,0,1,월,02:30:00,1
1,3,0,1,월,02:35:00,1
2,4,0,1,월,02:40:00,1
1,5,0,1,월,02:45:00,1
1,4,0,1,월,02:50:00,1
1,5,0,1,월,02:55:00,1
0,5,0,1,월,03:00:00,1
0,5,0,1,월,03:05:00,1
0,4,0,1,월,03:10:00,1
1,4,0,1,월,03:15:00,1
1,3,0,1,월,03:20:00,1
2,4,0,1,월,03:25:00,1
1,4,0,1,월,03:30:00,1
1,4,0,1,월,03:35:00,1
1,4,0,1,월,03:40:00,1
1,5,0,1,월,03:45:00,1
1,3,0,1,월,03:50:00,1
1,3,0,1,월,03:55:00,1
1,3,0,1,월,04:00:00,1
1,4,0,1,월,04:05:00,1
1,3,0,1,월,04:10:00,1
1,4,0,1,월,04:15:00,1
1,4,0,1,월,04:20:00,1
1,4,0,1,월,04:25:00,1
1,4,0,1,월,04:30:00,1
1,4,0,1,월,04:35:00,1
1,4,0,1,월,04:40:00,1
1,5,0,1,월,04:45:00,1
1,5,0,1,월,04:50:00,1
1,5,0,1,월,04:55:00,1
0,5,0,1,월,05:00:00,1
2,5,0,1,월,05:05:00,1
2,4,0,1,월,05:10:00,1
1,5,0,1,월,05:15:00,1
2,4,0,1,월,05:20:00,1
1,3,0,1,월,05:25:00,1
2,3,0,1,월,05:30:00,1
1,4,0,1,월,05:35:00,1
2,3,0,1,월,05:40:00,1
2,3,0,1,월,05:45:00,1
1,3,0,1,월,05:50:00,1
1,4,0,1,월,05:55:00,1
1,3,0,1,월,06:00:00,1
1,3,0,1,월,06:05:00,1
1,3,0,1,월,06:10:00,1
2,3,0,1,월,06:15:00,1
1,2,0,1,월,06:20:00,1
0,2,0,1,월,06:25:00,1
0,3,0,1,월,06:30:00,1
0,2,0,1,월,06:35:00,1
0,2,0,1,월,06:40:00,1
0,2,0,1,월,06:45:00,1
0,2,0,1,월,06:50:00,1
0,2,0,1,월,06:55:00,1
0,2,0,1,월,07:00:00,1
0,2,0,1,월,07:05:00,1
0,2,0,1,월,07:10:00,1
0,3,0,1,월,07:15:00,1
0,2,0,1,월,07:20:00,1
0,2,0,1,월,07:25:00,1
0,2,0,1,월,07:30:00,1
0,2,0,1,월,07:35:00,1
0,3,0,1,월,07:40:00,1
0,2,0,1,월,07:45:00,1
0,2,0,1,월,07:50:00,1
0,2,0,1,월,07:55:00,1
0,1,0,1,월,08:00:00,1
0,2,0,1,월,08:05:00,1
0,2,0,1,월,08:10:00,1
0,2,0,1,월,08:15:00,1
0,2,0,1,월,08:20:00,1
0,2,0,1,월,08:25:00,1
0,2,0,1,월,08:30:00,1
0,2,0,1,월,08:35:00,1
0,1,0,1,월,08:40:00,1
0,1,0,1,월,08:45:00,1
1,2,0,1,월,08:50:00,1
0,2,0,1,월,08:55:00,1
0,2,0,1,월,09:00:00,1
0,2,0,1,월,09:05:00,1
0,2,0,1,월,09:10:00,1
0,1,0,1,월,09:15:00,1
0,1,0,1,월,09:20:00,1
0,1,0,1,월,09:25:00,1
1,1,0,1,월,09:30:00,1
1,1,0,1,월,09:35:00,1
1,0,0,1,월,09:40:00,1
0,1,0,1,월,09:45:00,1
0,1,0,1,월,09:50:00,1
1,1,0,1,월,09:55:00,1
1,2,0,1,월,10:00:00,1
1,1,0,1,월,10:05:00,1
1,0,0,1,월,10:10:00,1
0,2,0,1,월,10:15:00,1
0,1,0,1,월,10:20:00,1
0,1,0,1,월,10:25:00,1
0,0,0,1,월,10:30:00,1
0,1,0,1,월,10:35:00,1
1,1,0,1,월,10:40:00,1
0,1,0,1,월,10:45:00,1
0,2,0,1,월,10:50:00,1
0,2,0,1,월,10:55:00,1
0,1,0,1,월,11:00:00,1
0,1,0,1,월,11:05:00,1
0,1,0,1,월,11:10:00,1
0,1,0,1,월,11:15:00,1
0,1,0,1,월,11:20:00,1
0,1,0,1,월,11:25:00,1
0,0,0,1,월,11:30:00,1
0,1,0,1,월,11:35:00,1
0,1,0,1,월,11:40:00,1
0,1,0,1,월,11:45:00,1
0,1,0,1,월,11:50:00,1
0,1,0,1,월,11:55:00,1
0,1,0,1,월,12:00:00,1
0,1,0,1,월,12:05:00,1
0,1,0,1,월,12:10:00,1
0,1,0,1,월,12:15:00,1
0,1,0,1,월,12:20:00,1
0,1,0,1,월,12:25:00,1
0,1,0,1,월,12:30:00,1
0,2,0,1,월,12:35:00,1
0,2,0,1,월,12:40:00,1
0,2,0,1,월,12:45:00,1
0,1,0,1,월,12:50:00,1
0,2,0,1,월,12:55:00,1
0,2,0,1,월,13:00:00,1
0,2,0,1,월,13:05:00,1
0,3,0,1,월,13:10:00,1
0,1,0,1,월,13:15:00,1
0,1,0,1,월,13:20:00,1
0,1,0,1,월,13:25:00,1
0,1,0,1,월,13:30:00,1
0,1,0,1,월,13:35:00,1
